
07-09 11:34:46.456 22610 22633 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:34:47.528 22610 22633 I Unity   : [STATISTIC]351;16493073;0;16492553;744529920;12460032;893771639;11042;37344;51197;0;0;1302;1369688;0;0;0;0;0;0;11499531;322656;0;27;0.01650083;
07-09 11:34:47.541 22610 22633 I Unity   : [STATISTIC]352;13407396;0;13406823;744529920;12460032;893771639;11927;39010;52291;0;0;1666;1379114;0;0;0;0;0;0;8340417;332396;0;27;0.01342062;
07-09 11:34:47.555 22610 22633 I Unity   : [STATISTIC]353;12196250;0;12195417;744529920;12460032;893771639;0;0;0;0;0;0;0;0;0;0;0;0;0;8963177;501719;0;27;0.01220651;
07-09 11:34:47.569 22610 22633 I Unity   : [STATISTIC]354;15489740;0;15489270;744529920;12460032;893771639;12135;34791;51562;0;0;1302;1256250;0;0;0;0;0;0;10561666;396979;0;27;0.01550667;
07-09 11:34:47.583 22610 22633 I Unity   : [STATISTIC]355;13809791;0;13809271;744849408;12460032;893771639;10938;35209;85261;0;0;1302;1466145;0;0;0;0;0;0;9031094;321980;0;27;0.01382021;
07-09 11:34:47.597 22610 22633 I Unity   : [STATISTIC]356;13846042;0;13845364;744849408;12460032;893771639;10416;43646;56510;0;0;1093;1772395;0;0;0;0;0;0;8973906;308125;0;27;0.01385708;
07-09 11:34:47.654 22610 22633 I Unity   : [STATISTIC]357;14170625;0;14170312;744849408;12460032;893771639;9479;34531;77656;0;0;885;1461250;0;0;0;0;0;0;9052708;1032343;0;27;0.01418391;
07-09 11:34:47.680 22610 22633 I Unity   : [STATISTIC]358;72666407;0;72665781;745811968;12460032;896009911;10208;31979;60417;0;0;990;1389531;0;0;0;0;0;0;5992083;1215157;0;27;0.07267198;
07-09 11:34:47.696 22610 22633 I Unity   : [STATISTIC]359;20226666;0;20225729;747606016;12460032;1321797303;1211094;788074;226302;0;0;257345;8089114;0;0;0;0;0;0;5111041;413489;0;27;0.02018828;
07-09 11:34:47.707 22610 22633 I Unity   : [STATISTIC]360;11810573;0;11810156;749236224;12460032;1323894455;567083;214740;105416;0;0;53646;3028281;0;0;0;0;0;0;137396;382032;0;27;0.01187036;
07-09 11:34:47.715 22610 22633 I Unity   : [STATISTIC]361;7608698;0;7608281;750092288;12460032;1323894455;502709;155885;118854;0;0;46094;2206979;0;0;0;0;0;0;67500;746927;0;27;0.007630625;
07-09 11:34:47.721 22610 22633 I Unity   : [STATISTIC]362;4884843;0;4884375;750104576;12460032;1323894455;0;0;0;0;0;0;0;0;0;0;0;0;0;50260;477031;0;27;0.004897084;
07-09 11:34:47.737 22610 22633 I Unity   : [STATISTIC]363;9292448;0;9291823;751464448;12460032;1323894455;451250;224166;114479;0;0;60885;2174375;0;0;0;0;0;0;2078646;311615;0;27;0.009297291;
07-09 11:34:47.749 22610 22633 I Unity   : [STATISTIC]364;15532656;0;15532083;751464448;12460032;1323894455;0;0;0;0;0;0;0;0;0;0;0;0;0;7817396;883906;0;27;0.01554542;
07-09 11:34:48.076 22610 22633 I Unity   : [STATISTIC]365;327182812;0;327182135;781373440;12460032;1334417175;617916;157917;101406;0;4584;66822;2653541;0;0;0;0;0;0;5005000;3916354;0;27;0.3271892;
07-09 11:34:48.098 22610 22633 I Unity   : [STATISTIC]366;25550573;0;25550104;789999616;12460032;1344927575;2446719;1085781;497083;0;464739;264897;9229063;0;0;0;6979;0;0;80104;2499687;0;27;0.02555979;
07-09 11:34:48.118 22610 22633 I Unity   : [STATISTIC]367;20562709;0;20562188;796635136;12460032;1372223383;757083;164584;142448;493125;171770;114375;3393228;0;0;0;12031;0;0;70052;2390000;0;27;0.02058177;
07-09 11:34:48.131 22610 22633 I Unity   : [STATISTIC]368;12903021;0;12902708;802050048;12460032;1376421815;799948;171459;194062;0;64792;267187;3526355;0;0;0;31354;0;0;48698;1149375;0;27;0.01291906;
07-09 11:34:48.145 22610 22633 I Unity   : [STATISTIC]369;11495469;0;11495052;807370752;12460032;1380616119;676302;153072;141510;0;53854;104167;2780312;0;0;0;0;0;96146;46615;1492656;0;27;0.01150719;
07-09 11:34:48.160 22610 22633 I Unity   : [STATISTIC]370;12713490;0;12713073;808435712;12460032;1397393335;616459;139219;134063;0;49792;112657;2712863;0;0;0;37187;0;0;2883021;1320052;0;27;0.01272583;
07-09 11:34:48.176 22610 22633 I Unity   : [STATISTIC]371;14446666;0;14446198;809422848;12460032;1414170551;626719;132916;203438;0;56875;188906;2842811;0;0;0;28958;0;0;5020781;1199427;0;27;0.01445833;
07-09 11:34:48.198 22610 22633 I Unity   : [STATISTIC]372;29137552;0;29136979;812744704;12460032;1414178743;1194740;150000;188750;98385;75000;237709;3944063;0;0;0;57083;0;0;6360573;2902083;0;27;0.02914479;
07-09 11:34:48.211 22610 22633 I Unity   : [STATISTIC]373;12240938;0;12240417;818061312;12460032;1414219831;551094;126250;130886;133958;64739;175937;2634167;0;0;0;46615;0;0;43385;3551042;0;27;0.01225636;
07-09 11:34:48.221 22610 22633 I Unity   : [STATISTIC]374;10018125;0;10017656;819265536;12460032;1414224023;630625;122343;128750;0;31927;159687;2821041;0;0;0;45624;0;0;42865;1280677;0;27;0.01002745;
07-09 11:34:48.232 22610 22633 I Unity   : [STATISTIC]375;11287916;0;11287344;822755328;12460032;1431046819;612916;120833;121041;237344;81876;193698;2816719;0;0;0;55573;0;0;42240;2421823;0;27;0.0112987;
07-09 11:34:48.243 22610 22633 I Unity   : [STATISTIC]376;8428125;0;8427656;825200640;12460032;1431114387;0;0;0;182917;36823;0;0;0;0;0;128022;0;0;45365;2457552;0;27;0.008437917;
07-09 11:34:48.258 22610 22633 I Unity   : [STATISTIC]377;11453282;0;11452864;825966592;12460032;1431122835;540833;143750;125000;0;44270;253750;2966094;0;0;0;117917;0;0;2209479;848177;0;27;0.01146422;
07-09 11:34:48.271 22610 22633 I Unity   : [STATISTIC]378;17851146;0;17850729;829300736;12460032;1431143507;823698;118073;153386;102396;65625;251250;3214895;0;0;0;75574;0;0;6466927;2142760;0;27;0.01786104;
07-09 11:34:48.283 22610 22633 I Unity   : [STATISTIC]379;13023334;0;13022865;832405504;12460032;1431186507;622500;114062;140052;178229;42448;171197;2911354;0;0;0;85104;0;0;1723385;2608125;0;27;0.01303359;
07-09 11:34:48.297 22610 22633 I Unity   : [STATISTIC]380;9847291;0;9846823;834764800;12460032;1447972299;0;0;0;175938;44427;0;0;0;0;0;0;0;630468;434479;3020417;0;27;0.009856511;
07-09 11:34:48.312 22610 22633 I Unity   : [STATISTIC]381;14392864;0;14392396;835850240;12460032;1447972299;750729;108698;209219;0;67135;237187;3215833;0;0;0;196613;0;0;4535990;979844;0;27;0.01440167;
