Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
126;612498;612318;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000614031;
127;616737;616626;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.00061835;
128;621736;621616;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000623479;
129;643436;643336;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000644809;
130;617658;617548;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000619011;
131;642875;642765;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000644248;
132;607449;607309;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000608742;
133;627116;627006;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000628629;
134;615404;615254;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000616806;
135;6738697;6738587;821370880;12206080;671874039;6;0;0;0;0;0;0;0;0;500158;0;0;87;0.006740441;
136;916609;916489;821370880;12206080;671874039;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000918853;
137;648235;648055;816263168;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000649498;
138;651551;651441;816263168;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000653004;
139;648406;648296;816263168;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000649759;
140;655840;655739;816263168;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000657242;
141;669856;669746;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000671209;
142;634840;634710;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000636213;
143;650529;650379;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000652213;
144;637686;637546;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000639129;
145;631434;631314;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000633047;
146;626114;626014;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000627467;
147;635532;635432;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000636774;
148;614393;614282;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.000615714;
149;632867;632747;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.00063452;
150;616697;616556;816394240;12206080;663464951;6;0;0;0;0;0;0;0;0;0;0;0;87;0.00061827;
151;4324490;4324379;823078912;12206080;671874039;7;40;0;0;0;0;0;0;0;512371;0;0;117;0.004325782;
152;1047574;1047464;823209984;12206080;671874039;7;40;0;0;0;0;0;0;0;0;0;0;117;0.001048917;
153;910538;910437;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.00091213;
154;716965;716845;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000718348;
155;650089;649979;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000651672;
156;624501;624370;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000625813;
157;626395;626285;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000627908;
158;628649;628549;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000630192;
159;622087;621977;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000623178;
160;640321;640221;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000641804;
161;647154;647054;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000648356;
162;644208;644078;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000645741;
163;627667;627537;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.00062923;
164;633829;633729;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000635161;
165;619802;619682;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000621305;
166;632506;632386;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000634109;
167;637435;637335;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000638798;
168;633047;632917;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.00063445;
169;616116;616006;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000617458;
170;645982;645871;818143232;12206080;663464951;7;40;0;0;0;0;0;0;0;0;0;0;117;0.000647464;
171;4993374;4993194;826400768;12206080;688651255;8;28;0;0;0;0;0;0;0;442981;0;0;147;0.004994536;
172;945684;945563;826531840;12206080;688651255;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000947296;
173;817823;817703;821493760;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000819467;
174;681939;681839;821493760;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000683322;
175;644249;644137;821493760;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.00064547;
176;658365;658245;821493760;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000659767;
177;644067;643947;821493760;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000645561;
178;636092;635972;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000637926;
179;650409;650269;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000651943;
180;637326;637195;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000639048;
181;621846;621736;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.00062355;
182;632276;632166;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000633548;
183;629371;629280;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000630763;
184;693822;693691;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000695344;
185;617629;617498;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000619111;
186;646513;646382;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000647895;
187;625032;624912;821624832;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000626795;
188;623619;623509;821755904;12206080;680242167;8;28;0;0;0;0;0;0;0;0;0;0;147;0.000624712;
189;5153915;5153825;829751296;12206080;688651255;9;49552;0;0;0;0;0;0;0;530194;0;0;177;0.005155448;
190;7444140;7443960;836386816;12206080;699137143;9;49552;0;0;0;0;0;0;0;0;116589;0;177;0.007446714;
191;4221035;4220915;832094208;12206080;690759515;9;49552;0;0;0;0;0;0;0;0;0;0;177;0.004224112;
192;5969454;5969344;842711040;12206080;707536731;10;49388;0;0;0;0;0;0;0;436709;0;0;207;0.005971238;
193;2038883;2038773;844591104;12206080;718022491;10;49388;0;0;0;0;0;0;0;0;36248;0;207;0.002041568;
194;67802881;67802681;849870848;12206080;722231139;10;49388;0;0;0;0;0;0;0;0;0;0;207;0.0678036;
195;23704132;23703952;898551808;12206080;787346895;14;0;0;0;0;0;0;0;0;1862212;105919;0;327;0.02370933;
196;6445307;6445137;900124672;12206080;808319071;16;53807;0;0;0;0;0;0;0;864832;0;0;387;0.006449966;
197;2924905;2924795;887463936;12206080;778938463;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.002928301;
198;1897839;1897719;866701312;12206080;753779531;16;53807;0;0;0;0;0;0;0;0;122570;0;387;0.001899342;
199;948619;948499;866701312;12206080;753752735;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.000950232;
200;950823;950713;866701312;12206080;753752735;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.000952176;
201;968716;968586;866701312;12206080;753752735;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.000970309;
202;937017;936897;866701312;12206080;753752735;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.00093843;
203;947597;947487;866701312;12206080;753752735;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.00094892;
204;942959;942848;866701312;12206080;753752735;16;53807;0;0;0;0;0;0;0;0;0;0;387;0.00094412;
205;5536132;5536032;875483136;12206080;770529951;17;0;0;0;0;0;0;0;0;466265;0;0;417;0.005537384;
206;1007419;1007309;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.001009333;
207;1096065;1095955;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.001097348;
208;962014;961904;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000963527;
