
07-09 11:46:47.368  6141  6168 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:46:48.448  6141  6168 I Unity   : [STATISTIC]357;14245677;0;14245208;734117888;16105472;897416971;8282;27865;56198;0;0;469;1151041;0;0;0;0;0;0;10252968;267239;0;27;0.01425739;
07-09 11:46:48.460  6141  6168 I Unity   : [STATISTIC]358;14996927;0;14996406;734142464;16105472;897416971;10677;35989;63334;0;0;416;1539739;0;0;0;0;0;0;9937760;355729;0;27;0.01500677;
07-09 11:46:48.475  6141  6168 I Unity   : [STATISTIC]359;11129531;0;11129219;734142464;16105472;897416971;9740;26823;41666;0;0;625;976926;0;0;0;0;0;0;7393177;305833;0;27;0.01115229;
07-09 11:46:48.489  6141  6168 I Unity   : [STATISTIC]360;14996250;0;14995625;734142464;16105472;897416971;0;0;0;0;0;0;0;0;0;0;0;0;0;11461042;518333;0;27;0.01498896;
07-09 11:46:48.503  6141  6168 I Unity   : [STATISTIC]361;14766562;0;14766094;734142464;16105472;897416971;10208;34583;51198;0;0;625;1383229;0;0;0;0;0;0;10079844;304792;0;27;0.01480599;
07-09 11:46:48.517  6141  6168 I Unity   : [STATISTIC]362;15342708;0;15342396;734240768;16105472;897416971;11198;56927;72656;0;0;573;2411406;0;0;0;0;0;0;8997552;410677;0;27;0.01534312;
07-09 11:46:48.571  6141  6168 I Unity   : [STATISTIC]363;13895521;0;13895261;734240768;16105472;897416971;10000;37552;45469;0;0;468;1914375;0;0;0;0;0;0;7294948;1197240;0;27;0.01392865;
07-09 11:46:48.599  6141  6168 I Unity   : [STATISTIC]364;67782396;0;67781771;735272960;16105472;899659339;9896;30989;47604;0;0;781;1298021;0;0;0;0;0;64062;1618958;982344;0;27;0.06780198;
07-09 11:46:48.620  6141  6168 I Unity   : [STATISTIC]365;28678125;0;28677604;738320384;16105472;1325446731;1647083;1991252;359167;0;0;413125;12357344;0;0;0;0;0;0;6844584;401354;0;27;0.02866276;
07-09 11:46:48.633  6141  6168 I Unity   : [STATISTIC]366;13217917;0;13217656;743407616;16105472;1327543883;1289792;2059063;242917;0;0;89845;6725366;0;0;0;0;0;0;80521;349583;0;27;0.01324359;
