
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:10:00.289  7945  7975 I Unity   : [STATISTIC]363;14886666;14886094;813969408;15982592;1419409543;0;0;0;156927;79740;0;490469;0;0;0;61874;0;0;5118021;2661614;0;0;1958906;21;27;0.01489604;
07-15 17:10:00.301  7945  7975 I Unity   : [STATISTIC]364;14383021;14382500;816181248;15982592;1419413703;0;0;0;91354;40052;0;537708;0;0;0;65677;0;0;4766667;2558855;0;0;1902344;22;27;0.01439458;
07-15 17:10:00.320  7945  7975 I Unity   : [STATISTIC]365;11847917;11847448;816648192;15982592;1419426439;0;0;0;267604;57239;0;431511;0;0;0;84896;0;0;2676719;2167240;0;0;1801042;23;27;0.0118576;
07-15 17:10:00.335  7945  7975 I Unity   : [STATISTIC]366;17874896;17874428;816812032;15982592;1419426439;0;0;0;0;66511;0;407864;0;0;0;95517;0;0;10063333;1316093;0;0;2000313;23;27;0.01788463;
07-15 17:10:00.353  7945  7975 I Unity   : [STATISTIC]367;16730886;16730260;818925568;15982592;1419456835;0;0;0;295729;100677;0;405833;0;0;0;136094;0;0;7484948;2489114;0;0;2059739;24;27;0.01674745;
07-15 17:10:00.366  7945  7975 I Unity   : [STATISTIC]368;17211042;17210677;821198848;15982592;1419493991;0;0;0;267500;61771;0;357604;0;0;0;87083;0;0;8397813;1779896;0;0;2038698;25;27;0.01722182;
07-15 17:10:00.382  7945  7975 I Unity   : [STATISTIC]369;15184427;15183958;825597952;15982592;1419514775;0;0;0;565834;66770;0;366666;0;0;0;72969;0;0;4375938;3215313;0;0;2354323;27;27;0.01519625;
07-15 17:10:00.396  7945  7975 I Unity   : [STATISTIC]370;12589427;12588959;825597952;15982592;1419519383;0;0;0;0;54479;0;368542;0;0;0;88645;0;0;4744375;734792;0;0;2174427;27;27;0.01260125;
07-15 17:10:00.411  7945  7975 I Unity   : [STATISTIC]371;16147917;16147500;828104704;15982592;1419540407;0;0;0;194635;186875;0;0;0;0;0;273335;0;0;6240938;3622553;0;0;1830157;28;27;0.01615948;
07-15 17:10:00.422  7945  7975 I Unity   : [STATISTIC]372;13258854;13258333;828317696;15982592;1436322263;0;0;0;0;107917;0;415260;0;0;0;139741;0;0;5081042;1700729;0;0;2132917;28;27;0.01326984;
